"FSD440.Code.or.Value","FSD440.Value.Description","FSD440.Count","FSD440.Cumulative","FSD440.Skip.to.Item"
"1","Yes",106,106,NA
"2","No",1884,1990,NA
"7","Refused",4,1994,NA
"9","Don't know",47,2041,NA
".","Missing",8496,10537,NA
