"URXPHIP.Code.or.Value","URXPHIP.Value.Description","URXPHIP.Count","URXPHIP.Cumulative","URXPHIP.Skip.to.Item"
"0.24 to 324","Range of Values",2569,2569,NA
".","Missing",186,2755,NA
