"BIXC075K.Code.or.Value","BIXC075K.Value.Description","BIXC075K.Count","BIXC075K.Cumulative","BIXC075K.Skip.to.Item"
"32.78 to 148.03","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
