"URDUA5LC.Code.or.Value","URDUA5LC.Value.Description","URDUA5LC.Count","URDUA5LC.Cumulative","URDUA5LC.Skip.to.Item"
"0","At or above the detection limit",77,77,NA
"1","Below lower detection limit",2440,2517,NA
".","Missing",77,2594,NA
