"LBCBB1LA.Code.or.Value","LBCBB1LA.Value.Description","LBCBB1LA.Count","LBCBB1LA.Cumulative","LBCBB1LA.Skip.to.Item"
"0.3 to 133","Range of Values",264,264,NA
".","Missing",0,264,NA
