"DR1_320Z.Code.or.Value","DR1_320Z.Value.Description","DR1_320Z.Count","DR1_320Z.Cumulative","DR1_320Z.Skip.to.Item"
"0 to 13440","Range of Values",8661,8661,NA
".","Missing",1152,9813,NA
