"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"6552.119284 to 874638.01159","Range of Values",3149,3149,NA
"0","No Lab Result",56,3205,NA
".","Missing",0,3205,NA
