"DS1TMFAT.Code.or.Value","DS1TMFAT.Value.Description","DS1TMFAT.Count","DS1TMFAT.Cumulative","DS1TMFAT.Skip.to.Item"
"0.025 to 2","Range of Values",75,75,NA
".","Missing",9469,9544,NA
