"DUQ220U.Code.or.Value","DUQ220U.Value.Description","DUQ220U.Count","DUQ220U.Cumulative","DUQ220U.Skip.to.Item"
"1","Days",435,435,NA
"2","Weeks",111,546,NA
"3","Months",235,781,NA
"4","Years",1201,1982,NA
"7","Refused",0,1982,NA
"9","Don't know",0,1982,NA
".","Missing",3075,5057,NA
