"WTSPH32.Code.or.Value","WTSPH32.Value.Description","WTSPH32.Count","WTSPH32.Cumulative","WTSPH32.Skip.to.Item"
"0.0000000 to 752108.9653900","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
