"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"1852.3028731 to 443805.73786","Range of Values",112101,112101,NA
".","Missing",0,112101,NA
