"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"180 to 409.6","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
