"DXXPT82Y.Code.or.Value","DXXPT82Y.Value.Description","DXXPT82Y.Count","DXXPT82Y.Cumulative","DXXPT82Y.Skip.to.Item"
"52.6 to 296.5","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
