"OSD030cd.Code.or.Value","OSD030cd.Value.Description","OSD030cd.Count","OSD030cd.Cumulative","OSD030cd.Skip.to.Item"
"53 to 56","Range of Values",2,2,NA
"80","80 or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",3067,3069,NA
