"BPXSAR.Code.or.Value","BPXSAR.Value.Description","BPXSAR.Count","BPXSAR.Cumulative","BPXSAR.Skip.to.Item"
"72 to 266","Range of Values",7837,7837,NA
".","Missing",2640,10477,NA
