"OSQ040ca.Code.or.Value","OSQ040ca.Value.Description","OSQ040ca.Count","OSQ040ca.Cumulative","OSQ040ca.Skip.to.Item"
"1","Under 50 years old, or",116,116,"OSQ025"
"2","50 years old or older?",34,150,""
"7","Refused",0,150,"OSQ025"
"9","Don't know",0,150,"OSQ025"
".","Missing",5785,5935,""
