"DR1TP204.Code.or.Value","DR1TP204.Value.Description","DR1TP204.Count","DR1TP204.Cumulative","DR1TP204.Skip.to.Item"
"0 to 2.421","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
