"URDP25LC.Code.or.Value","URDP25LC.Value.Description","URDP25LC.Count","URDP25LC.Cumulative","URDP25LC.Skip.to.Item"
"0","At or above the detection limit",3026,3026,NA
"1","Below lower detection limit",9,3035,NA
".","Missing",244,3279,NA
