"MCQ240K.Code.or.Value","MCQ240K.Value.Description","MCQ240K.Count","MCQ240K.Cumulative","MCQ240K.Skip.to.Item"
"19 to 75","Range of Values",6,6,NA
"85","85 years or older",0,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",10464,10470,NA
