"AUXLR105.Code.or.Value","AUXLR105.Value.Description","AUXLR105.Count","AUXLR105.Cumulative","AUXLR105.Skip.to.Item"
"-42 to 44","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
