"WTSPO29.Code.or.Value","WTSPO29.Value.Description","WTSPO29.Count","WTSPO29.Cumulative","WTSPO29.Skip.to.Item"
"0.0000000 to 847208.8353100","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
