"DR1TS140.Code.or.Value","DR1TS140.Value.Description","DR1TS140.Count","DR1TS140.Cumulative","DR1TS140.Skip.to.Item"
"0 to 24.987","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
