"TYXP217.Code.or.Value","TYXP217.Value.Description","TYXP217.Count","TYXP217.Cumulative","TYXP217.Skip.to.Item"
"-296 to 177","Range of Values",191,191,NA
".","Missing",5394,5585,NA
