"AUDTYR41.Code.or.Value","AUDTYR41.Value.Description","AUDTYR41.Count","AUDTYR41.Cumulative","AUDTYR41.Skip.to.Item"
"0 to 3","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
