"IMQ060.Code.or.Value","IMQ060.Value.Description","IMQ060.Count","IMQ060.Cumulative","IMQ060.Skip.to.Item"
"1","Yes",618,618,"IMD080"
"2","No",2182,2800,"End of Section"
"7","Refused",3,2803,"End of Section"
"9","Don't know",193,2996,"End of Section"
".","Missing",6975,9971,""
