"DS1IVC.Code.or.Value","DS1IVC.Value.Description","DS1IVC.Count","DS1IVC.Cumulative","DS1IVC.Skip.to.Item"
"0.8 to 15000","Range of Values",2021,2021,NA
".","Missing",3349,5370,NA
