"CBQ695b.Code.or.Value","CBQ695b.Value.Description","CBQ695b.Count","CBQ695b.Cumulative","CBQ695b.Skip.to.Item"
"2","The amount of this food that people usually eat",273,273,NA
".","Missing",1772,2045,NA
