"PUQ110.Code.or.Value","PUQ110.Value.Description","PUQ110.Count","PUQ110.Cumulative","PUQ110.Skip.to.Item"
"1","Yes",383,383,NA
"2","No",7341,7724,NA
"7","Refused",0,7724,NA
"9","Don't know",127,7851,NA
".","Missing",740,8591,NA
