"BIXC007K.Code.or.Value","BIXC007K.Value.Description","BIXC007K.Count","BIXC007K.Cumulative","BIXC007K.Skip.to.Item"
"14.69 to 558.15","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
