"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.2 to 11.3","Range of Values",2277,2277,NA
".","Missing",72,2349,NA
