"RFXC002.Code.or.Value","RFXC002.Value.Description","RFXC002.Count","RFXC002.Cumulative","RFXC002.Skip.to.Item"
"-2.639 to 2.374","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
