"AUXRR184.Code.or.Value","AUXRR184.Value.Description","AUXRR184.Count","AUXRR184.Cumulative","AUXRR184.Skip.to.Item"
"-19 to 58","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
