"CVATEMP.Code.or.Value","CVATEMP.Value.Description","CVATEMP.Count","CVATEMP.Cumulative","CVATEMP.Skip.to.Item"
"63.3 to 85.2","Range of Values",3209,3209,NA
".","Missing",1393,4602,NA
