"WTFSM.Code.or.Value","WTFSM.Value.Description","WTFSM.Count","WTFSM.Cumulative","WTFSM.Skip.to.Item"
"5682.8332946 to 708016.13026","Range of Values",2389,2389,NA
"0","No Lab Result",73,2462,NA
".","Missing",0,2462,NA
