"CIQD105.Code.or.Value","CIQD105.Value.Description","CIQD105.Count","CIQD105.Cumulative","CIQD105.Skip.to.Item"
"0 to 15","Range of Values",26,26,NA
"77","Refuse",0,26,NA
"99","Don't know",3,29,NA
".","Missing",749,778,NA
