"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",21292,21292,NA
"2","Day 1 and day 2",124411,145703,NA
".","Missing",0,145703,NA
