"DXXTATM.Code.or.Value","DXXTATM.Value.Description","DXXTATM.Count","DXXTATM.Cumulative","DXXTATM.Skip.to.Item"
"186.81 to 5837.8","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
