"WBXA074.Code.or.Value","WBXA074.Value.Description","WBXA074.Count","WBXA074.Cumulative","WBXA074.Skip.to.Item"
"-0.8555 to 0.9987","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
