"MPQ120a.Code.or.Value","MPQ120a.Value.Description","MPQ120a.Count","MPQ120a.Cumulative","MPQ120a.Skip.to.Item"
"10","Head",244,244,NA
"77","Refused",1,245,NA
"99","Don't know",3,248,NA
".","Missing",4632,4880,NA
