"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",7529,7529,NA
"2","Spanish",839,8368,NA
"3","English and Spanish",107,8475,NA
"4","Other",36,8511,NA
"5","Asian Languages",52,8563,NA
"6","Asian Languages and English",60,8623,NA
".","Missing",715,9338,NA
