"LBXV2A.Code.or.Value","LBXV2A.Value.Description","LBXV2A.Count","LBXV2A.Cumulative","LBXV2A.Skip.to.Item"
"0.0071 to 0.247","Range of Values",3187,3187,NA
".","Missing",260,3447,NA
