"DXXVFATA.Code.or.Value","DXXVFATA.Value.Description","DXXVFATA.Count","DXXVFATA.Cumulative","DXXVFATA.Skip.to.Item"
"1.77 to 415.6","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
