"FSQ410.Code.or.Value","FSQ410.Value.Description","FSQ410.Count","FSQ410.Cumulative","FSQ410.Skip.to.Item"
"1 to 30","Range of Values",177,177,NA
"77","Refused",3,180,NA
"99","Don't know",0,180,NA
".","Missing",10859,11039,NA
