"AUXRR221.Code.or.Value","AUXRR221.Value.Description","AUXRR221.Count","AUXRR221.Cumulative","AUXRR221.Skip.to.Item"
"-25 to 68","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
