"WHD130.Code.or.Value","WHD130.Value.Description","WHD130.Count","WHD130.Cumulative","WHD130.Skip.to.Item"
"41 to 83","Range of Values",2455,2455,NA
"7777","Refused",9,2464,NA
"9999","Don't know",84,2548,NA
".","Missing",4086,6634,NA
