"RFXC043.Code.or.Value","RFXC043.Value.Description","RFXC043.Count","RFXC043.Cumulative","RFXC043.Skip.to.Item"
"-6.813 to 3.819","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
