"AUDTYL78.Code.or.Value","AUDTYL78.Value.Description","AUDTYL78.Count","AUDTYL78.Cumulative","AUDTYL78.Skip.to.Item"
"0 to 0.53","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
