"AUDTYR41.Code.or.Value","AUDTYR41.Value.Description","AUDTYR41.Count","AUDTYR41.Cumulative","AUDTYR41.Skip.to.Item"
"0 to 2.75","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
