"ORXH53.Code.or.Value","ORXH53.Value.Description","ORXH53.Count","ORXH53.Cumulative","ORXH53.Skip.to.Item"
"1","Positive",15,15,NA
"2","Negative",4531,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
