"LBDTCDLC.Code.or.Value","LBDTCDLC.Value.Description","LBDTCDLC.Count","LBDTCDLC.Cumulative","LBDTCDLC.Skip.to.Item"
"0","detectable result",10,10,NA
"1","below detectable limit",1888,1898,NA
".","Missing",376,2274,NA
