"LBXV1A.Code.or.Value","LBXV1A.Value.Description","LBXV1A.Count","LBXV1A.Cumulative","LBXV1A.Skip.to.Item"
"0.0071 to 0.0071","Range of Values",2800,2800,NA
".","Missing",615,3415,NA
