"DUQ360.Code.or.Value","DUQ360.Value.Description","DUQ360.Count","DUQ360.Cumulative","DUQ360.Skip.to.Item"
"1 to 30","Range of Values",18,18,NA
"77","Refused",1,19,NA
"99","Don't know",1,20,NA
".","Missing",3265,3285,NA
