"MGXH1T2E.Code.or.Value","MGXH1T2E.Value.Description","MGXH1T2E.Count","MGXH1T2E.Cumulative","MGXH1T2E.Skip.to.Item"
"1","Maximal",7647,7647,NA
"2","Questionable",142,7789,NA
".","Missing",502,8291,NA
