"TYXP128.Code.or.Value","TYXP128.Value.Description","TYXP128.Count","TYXP128.Cumulative","TYXP128.Skip.to.Item"
"-293 to 37","Range of Values",8133,8133,NA
".","Missing",336,8469,NA
