"HCQ126E.Code.or.Value","HCQ126E.Value.Description","HCQ126E.Count","HCQ126E.Cumulative","HCQ126E.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2,2,NA
"7","Refused",0,2,NA
"9","Don't Know",1,3,NA
".","Missing",113,116,NA
