"RHQ598.Code.or.Value","RHQ598.Value.Description","RHQ598.Count","RHQ598.Cumulative","RHQ598.Skip.to.Item"
"21 to 64","Range of Values",11,11,NA
"777","Refused",0,11,NA
"999","Don't know",1,12,NA
".","Missing",3585,3597,NA
