"LBXVTP.Code.or.Value","LBXVTP.Value.Description","LBXVTP.Count","LBXVTP.Cumulative","LBXVTP.Skip.to.Item"
"0.0283 to 0.053","Range of Values",3163,3163,NA
".","Missing",284,3447,NA
