"DUQ250.Code.or.Value","DUQ250.Value.Description","DUQ250.Count","DUQ250.Cumulative","DUQ250.Skip.to.Item"
"1","Yes",745,745,""
"2","No",28,773,"DUQ290"
"7","Refused",1,774,"DUQ290"
"9","Don't know",0,774,"DUQ290"
".","Missing",4528,5302,""
