"OSQ160a.Code.or.Value","OSQ160a.Value.Description","OSQ160a.Count","OSQ160a.Cumulative","OSQ160a.Skip.to.Item"
"1","Mother",358,358,NA
"7","Refused",0,358,NA
"9","Don't know",0,358,NA
".","Missing",2711,3069,NA
