"DRD350DQ.Code.or.Value","DRD350DQ.Value.Description","DRD350DQ.Count","DRD350DQ.Cumulative","DRD350DQ.Skip.to.Item"
"1 to 10","Range of Values",322,322,NA
".","Missing",9016,9338,NA
