"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2241,2241,NA
"1","Below lower detection limit",132,2373,NA
".","Missing",89,2462,NA
