"DS1IKCAL.Code.or.Value","DS1IKCAL.Value.Description","DS1IKCAL.Count","DS1IKCAL.Cumulative","DS1IKCAL.Skip.to.Item"
"1 to 270","Range of Values",1328,1328,NA
".","Missing",4578,5906,NA
