"DUQ130.Code.or.Value","DUQ130.Value.Description","DUQ130.Count","DUQ130.Cumulative","DUQ130.Skip.to.Item"
"0 to 165","Range of Values",49,49,NA
"777","Refused",0,49,NA
"999","Don't know",0,49,NA
".","Missing",2943,2992,NA
