"DXXPT49X.Code.or.Value","DXXPT49X.Value.Description","DXXPT49X.Count","DXXPT49X.Cumulative","DXXPT49X.Skip.to.Item"
"239.2 to 881.8","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
